"idTemp";"registro";"hora"
1132;38.0;"2022-10-24 22:46:26"
1133;38.0;"2022-10-24 22:46:27"
1134;38.0;"2022-10-24 22:46:28"
1135;38.0;"2022-10-24 22:46:29"
1136;41.0;"2022-10-24 22:46:30"
1137;38.0;"2022-10-24 22:46:31"
1138;41.0;"2022-10-24 22:46:32"
1139;40.0;"2022-10-24 22:46:33"
1140;43.0;"2022-10-24 22:46:34"
1141;39.0;"2022-10-24 22:46:35"
1142;38.0;"2022-10-24 22:46:36"
1143;40.0;"2022-10-24 22:46:37"
1144;40.0;"2022-10-24 22:46:39"
1145;43.0;"2022-10-24 22:46:40"
1146;45.0;"2022-10-24 22:46:41"
1147;38.0;"2022-10-24 22:46:42"
1148;38.0;"2022-10-24 22:46:43"
1149;37.0;"2022-10-24 22:46:44"
1150;38.0;"2022-10-24 22:46:45"
1151;40.0;"2022-10-24 22:46:46"
1152;39.0;"2022-10-24 22:46:47"
1153;40.0;"2022-10-24 22:46:48"
1154;36.0;"2022-10-24 22:46:49"
1155;37.0;"2022-10-24 22:46:50"
1156;40.0;"2022-10-24 22:46:51"
1157;39.0;"2022-10-24 22:46:52"
1158;37.0;"2022-10-24 22:46:54"
1159;37.0;"2022-10-24 22:46:55"
1160;36.0;"2022-10-24 22:46:56"
1161;36.0;"2022-10-24 22:46:57"
1162;45.0;"2022-10-24 22:46:58"
1163;38.0;"2022-10-24 22:46:59"
1164;40.0;"2022-10-24 22:47:00"
1165;39.0;"2022-10-24 22:47:01"
1166;37.0;"2022-10-24 22:47:02"
1167;38.0;"2022-10-24 22:47:03"
1168;37.0;"2022-10-24 22:47:04"
1169;44.0;"2022-10-24 22:47:05"
1170;46.0;"2022-10-24 22:47:07"
1171;46.0;"2022-10-24 22:47:08"
1172;45.0;"2022-10-24 22:47:09"
1173;41.0;"2022-10-24 22:47:10"
1174;41.0;"2022-10-24 22:47:11"
1175;43.0;"2022-10-24 22:47:12"
1176;43.0;"2022-10-24 22:47:13"
1177;41.0;"2022-10-24 22:47:14"
1178;41.0;"2022-10-24 22:47:15"
1179;41.0;"2022-10-24 22:47:16"
1180;42.0;"2022-10-24 22:47:17"
1181;40.0;"2022-10-24 22:47:18"
1182;41.0;"2022-10-24 22:47:20"
1183;41.0;"2022-10-24 22:47:21"
1184;41.0;"2022-10-24 22:47:22"
1185;40.0;"2022-10-24 22:47:23"
1186;41.0;"2022-10-24 22:47:24"
1187;43.0;"2022-10-24 22:47:25"
1188;42.0;"2022-10-24 22:47:26"
1189;44.0;"2022-10-24 22:47:27"
1190;45.0;"2022-10-24 22:47:28"
1191;38.0;"2022-10-24 22:47:29"
1192;43.0;"2022-10-24 22:47:30"
1193;40.0;"2022-10-24 22:47:32"
1194;37.0;"2022-10-24 22:47:33"
1195;41.0;"2022-10-24 22:47:34"
1196;41.0;"2022-10-24 22:47:35"
1197;40.0;"2022-10-24 22:47:36"
1198;44.0;"2022-10-24 22:47:37"
1199;40.0;"2022-10-24 22:47:38"
1200;38.0;"2022-10-24 22:47:39"
1201;40.0;"2022-10-24 22:47:40"
1202;47.0;"2022-10-24 22:47:41"
1203;40.0;"2022-10-24 22:47:42"
1204;41.0;"2022-10-24 22:47:44"
1205;42.0;"2022-10-24 22:47:45"
1206;42.0;"2022-10-24 22:47:46"
1207;47.0;"2022-10-24 22:47:47"
1208;45.0;"2022-10-24 22:47:48"
1209;47.0;"2022-10-24 22:47:49"
1210;44.0;"2022-10-24 22:47:50"
1211;43.0;"2022-10-24 22:47:52"
1212;39.0;"2022-10-24 22:47:53"
1213;38.0;"2022-10-24 22:47:54"
1214;46.0;"2022-10-24 22:47:55"
1215;47.0;"2022-10-24 22:47:56"
1216;38.0;"2022-10-24 22:47:57"
1217;38.0;"2022-10-24 22:47:58"
1218;43.0;"2022-10-24 22:47:59"
1219;47.0;"2022-10-24 22:48:00"
1220;39.0;"2022-10-24 22:48:01"
1221;46.0;"2022-10-24 22:48:02"
1222;46.0;"2022-10-24 22:48:03"
1223;41.0;"2022-10-24 22:48:04"
1224;38.0;"2022-10-24 22:48:05"
1225;38.0;"2022-10-24 22:48:07"
1226;37.0;"2022-10-24 22:48:08"
1227;36.0;"2022-10-24 22:48:09"
1228;36.0;"2022-10-24 22:48:10"
1229;36.0;"2022-10-24 22:48:11"
1230;36.0;"2022-10-24 22:48:12"
1231;37.0;"2022-10-24 22:48:13"
1232;37.0;"2022-10-24 22:48:14"
1233;40.0;"2022-10-24 22:48:15"
1234;36.0;"2022-10-24 22:48:16"
1235;37.0;"2022-10-24 22:48:18"
1236;36.0;"2022-10-24 22:48:19"
1237;36.0;"2022-10-24 22:48:20"
1238;37.0;"2022-10-24 22:48:21"
1239;37.0;"2022-10-24 22:48:22"
1240;38.0;"2022-10-24 22:48:23"
1241;37.0;"2022-10-24 22:48:24"
1242;39.0;"2022-10-24 22:48:25"
1243;45.0;"2022-10-24 22:48:26"
1244;40.0;"2022-10-24 22:48:27"
1245;44.0;"2022-10-24 22:48:28"
1246;41.0;"2022-10-24 22:48:29"
1247;40.0;"2022-10-24 22:48:30"
1248;43.0;"2022-10-24 22:48:31"
1249;38.0;"2022-10-24 22:48:32"
1250;39.0;"2022-10-24 22:48:34"
1251;37.0;"2022-10-24 22:48:35"
1252;38.0;"2022-10-24 22:48:36"
1253;38.0;"2022-10-24 22:48:37"
1254;41.0;"2022-10-24 22:48:38"
1255;41.0;"2022-10-24 22:48:39"
1256;45.0;"2022-10-24 22:48:40"
1257;42.0;"2022-10-24 22:48:41"
1258;39.0;"2022-10-24 22:48:42"
1259;41.0;"2022-10-24 22:48:43"
1260;38.0;"2022-10-24 22:48:45"
1261;37.0;"2022-10-24 22:48:46"
1262;41.0;"2022-10-24 22:48:47"
1263;38.0;"2022-10-24 22:48:48"
1264;38.0;"2022-10-24 22:48:49"
1265;38.0;"2022-10-24 22:48:50"
1266;37.0;"2022-10-24 22:48:51"
1267;36.0;"2022-10-24 22:48:52"
1268;39.0;"2022-10-24 22:48:53"
1269;37.0;"2022-10-24 22:48:54"
1270;39.0;"2022-10-24 22:48:55"
1271;38.0;"2022-10-24 22:48:57"
1272;37.0;"2022-10-24 22:48:58"
1273;37.0;"2022-10-24 22:48:59"
1274;39.0;"2022-10-24 22:49:00"
1275;44.0;"2022-10-24 22:49:01"
1276;39.0;"2022-10-24 22:49:02"
1277;38.0;"2022-10-24 22:49:03"
1278;38.0;"2022-10-24 22:49:04"
1279;40.0;"2022-10-24 22:49:05"
1280;47.0;"2022-10-24 22:49:06"
1281;46.0;"2022-10-24 22:49:07"
1282;39.0;"2022-10-24 22:49:08"
1283;40.0;"2022-10-24 22:49:09"
1284;41.0;"2022-10-24 22:49:10"
1285;40.0;"2022-10-24 22:49:12"
1286;38.0;"2022-10-24 22:49:13"
1287;37.0;"2022-10-24 22:49:14"
1288;36.0;"2022-10-24 22:49:15"
1289;36.0;"2022-10-24 22:49:16"
1290;36.0;"2022-10-24 22:49:17"
1291;38.0;"2022-10-24 22:49:18"
1292;37.0;"2022-10-24 22:49:19"
1293;38.0;"2022-10-24 22:49:20"
1294;36.0;"2022-10-24 22:49:21"
1295;36.0;"2022-10-24 22:49:22"
1296;38.0;"2022-10-24 22:49:23"
1297;37.0;"2022-10-24 22:49:24"
1298;38.0;"2022-10-24 22:49:26"
1299;37.0;"2022-10-24 22:49:27"
1300;41.0;"2022-10-24 22:49:28"
1301;38.0;"2022-10-24 22:49:29"
1302;38.0;"2022-10-24 22:49:30"
1303;37.0;"2022-10-24 22:49:31"
1304;43.0;"2022-10-24 22:49:32"
